,PARAMETROS GENERALES,PARAMETROS GENERALES,PARAMETROS GENERALES,PARAMETROS GENERALES,PARAMETROS GENERALES,PARAMETROS COMPRAS ,PARAMETROS COMPRAS ,PARAMETROS FONDOS,PARAMETROS FONDOS
,SERVICIOS PRESTADOS POR EL ESTUDIO,GENERADO POR,TIPO DE COMPROBANTES EMITIDOS,EMISOR ,CUENTAS BANCARIAS,RUBROS,COMPROBANTES DE PROV,MOV DE  FONDOS,CONCEPTOS PLANILLA DE FONDOS
1,BONOS BIENES DE CAPITAL,PAOLA,FC A,PAOLA CAPOMASI,BANCO NACION CA $,COMBUSTIBLE,X,INGRESO,CHEQUE ACREDITADO
2,CERTIFICACION DE BALANCE,LUCIANA,FC C,LUCIANA,BANCO NACION USD,COMPUTACIÓN,FC B,EGRESO,CHEQUE DEBITADO
3,CONSTITUCION SOCIEDADES,VICTORIA,PRESUPUESTO,VICTORIA,,ENERGÍA,FC C,MOVIMIENTO,COBRANZA DE CLIENTES
4,GANANCIA PERSONA FISICA,PAOLA + LUCIANA,,PABLO,,GASTOS GENERALES,,,COMPRA USD
5,HONORARIO MENSUAL,PAOLA + VICTORIA,,,,HONORARIOS - ASESORÍA,,,EXTRACCION
6,HONORARIOS,LUCIANA + VICTORIA,,,,IMPUESTOS,,,GASTOS BANCARIOS
7,INSCRIPCIONES ARCA,PAOLA + LUCIANA + VICTORIA,,,,INDUMENTARIA,,,IMPUESTO DEBITOS/CRED
8,INSCRIPCIONES MUNICIPALES,,,,,LIBRERÍA,,,OTROS INGRESOS
9,INSCRIPCIONES PROVINCIALES,,,,,LIMPIEZA,,,PAGO A PROVEEDORES
10,INSPECCIONES,,,,,MANTENIMIENTO DEL EDIFICIO,,,SALDO INICIAL
11,LIQUIDACIÓN DE BIENES PERSONALES,,,,,MATRÍCULA,,,SUELDOS
12,OTROS,,,,,REGALOS EMPRESARIALES,,,VENTA USD
13,RECATEGORIZACION MONOTRIBUTO,,,,,SISTEMA,,,MOVIMIENTO
14,RECUPERO IVA DE EXPORTACION,,,,,SUELDOS,,,
15,RECUPERO IVA LIBRE DISPONIB.,,,,,TELÉFONO,,,
16,RENOVACION DIRECTORIO,,,,,,,,
17,SALDO TECNICO DE IVA,,,,,,,,
18,CONSULTORIA COSTOS INICIO,,,,,,,,
19,CONSULTORIA COSTOS MENSUAL,,,,,,,,
20,SALDO INICIAL,,,,,,,,
21,RECUPERO GASTOS,,,,,,,,
